,date,time,line,start,stop,crowdedness,E,N,F,is_old_seat_empty,is_p_seat_empty,p_seat_empty_count,female,male,age,child,teenage,youth,middle_age,old_age,badge,pregnant,heavy,behavior1,behavior2,behavior3,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
87,2019. 8. 2.,18:22:00,1,신길,병점,N,0,1,0,1,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
88,2019. 8. 2.,18:27:00,1,금정,병점,N,0,1,0,1,1,8.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
89,2019. 8. 2.,17:29:00,5,공덕,왕십리,N,0,1,0,0,0,,0,1,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,멍,,,0,1,0,0,0,0,0,0,0,0
90,2019. 8. 2.,17:29:00,5,공덕,왕십리,N,0,1,0,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,대화,,,0,0,0,0,1,0,0,0,0,0
91,2019. 8. 2.,17:30:00,5,충정로,광화문,N,0,1,0,0,1,2.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
92,2019. 8. 2.,17:35:00,5,공덕,왕십리,N,0,1,0,0,0,,1,0,청년,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
93,2019. 8. 2.,17:38:00,5,종로3가,동대문역사문화공원,N,0,1,0,0,1,2.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
94,2019. 8. 2.,17:42:00,5,공덕,왕십리,N,0,1,0,0,0,,1,0,중년,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,핸드폰,,,1,0,0,0,0,0,0,0,0,0
95,2019. 8. 2.,17:59:00,10,왕십리,야탑,E,1,0,0,0,1,16.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
96,2019. 8. 2.,17:59:00,10,왕십리,야탑,E,1,0,0,0,1,16.0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
