date,time,line,start,stop,E,N,F,old_age_seat,is_empty,Female,Male,isempty_station,child,teenage,Youth,middle_age,old_age,badge,pregnant,heavy,cellphone,thinking,sleep,earphone,talking,calling,reading,makeup,eating,writing
2019. 8. 3.,18:35:00,10,왕십리,야탑,0,0,1,1,0,0,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,18:49:00,10,왕십리,야탑,0,0,1,1,0,1,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019. 8. 3.,19:01:00,10,왕십리,야탑,0,0,1,1,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2019. 8. 3.,9:49:00,6,화랑대,태릉입구,0,1,0,0,1,,,1,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:49:00,6,화랑대,돌곶이,0,1,0,0,1,,,3,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:49:00,6,석계,돌곶이,0,1,0,0,1,,,1,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:50:00,6,안암,창신,0,1,0,0,1,,,2,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:50:00,6,보문,창신,0,1,0,0,1,,,1,,,,,,,,,,,,,,,,,,
2019. 8. 3.,9:50:00,6,화랑대,청구,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:50:00,6,화랑대,청구,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2019. 8. 3.,9:50:00,6,화랑대,청구,0,1,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:50:00,6,화랑대,청구,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:50:00,6,화랑대,청구,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,9:50:00,6,화랑대,청구,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019. 8. 3.,9:50:00,6,화랑대,청구,0,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019. 8. 3.,10:13:00,5,청구,경복궁,1,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,10:13:00,5,청구,경복궁,1,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019. 8. 3.,10:20:00,5,청구,경복궁,1,0,0,0,0,1,0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019. 8. 3.,19:20:00,5,광화문,청구,1,0,0,0,1,,,12,,,,,,,,,,,,,,,,,,
2019. 8. 3.,19:20:00,6,청구,화랑대,1,0,0,0,1,,,12,,,,,,,,,,,,,,,,,,
2019. 8. 3.,19:30:00,6,광화문,화랑대,1,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019. 8. 3.,18:03:00,1,종각,온수,1,0,0,1,0,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2019. 8. 3.,18:03:00,1,종각,온수,1,0,0,1,0,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
